pos	verb	ccar	slew	bic
48843	1.0	1.0	1.0	0.0
48881	0.0	1.0	1.0	1.0
48882	1.0	1.0	1.0	0.0
48896	1.0	1.0	1.0	0.0
48931	1.0	0.983870967742	1.0	1.0
48934	1.0	0.983870967742	1.0	1.0
48964	0.0	1.0	1.0	1.0
48965	0.0	1.0	1.0	1.0
49065	1.0	1.0	1.0	0.0
159941	1.0	0.91935483871	1.0	1.0
159978	0.0	1.0	1.0	1.0
159983	1.0	1.0	0.657894736842	0.0
159984	1.0	1.0	0.657894736842	0.0
159993	1.0	1.0	1.0	0.0
159995	1.0	0.983870967742	1.0	1.0
160214	1.0	1.0	0.578947368421	1.0
160222	1.0	1.0	1.0	0.0
160242	0.0	1.0	1.0	1.0
160252	1.0	1.0	0.973684210526	1.0
160265	1.0	1.0	0.473684210526	1.0
160280	0.0	1.0	0.578947368421	1.0
160292	0.0	1.0	1.0	0.0
160303	0.0	1.0	1.0	1.0
160309	1.0	0.967741935484	1.0	1.0
160314	1.0	1.0	1.0	0.0
160316	1.0	1.0	0.0	1.0
160329	0.0	1.0	0.0	0.0
160341	0.0	1.0	0.0	0.0
160414	1.0	1.0	0.315789473684	1.0
160540	0.0	0.58064516129	0.0	0.0
160551	0.0	1.0	1.0	0.0
160559	1.0	1.0	0.0263157894737	1.0
160594	0.0	1.0	1.0	1.0
160596	1.0	0.967741935484	1.0	1.0
160600	1.0	1.0	1.0	0.0
160602	0.0	1.0	1.0	0.0
160620	1.0	1.0	1.0	0.0
160634	0.0	1.0	1.0	0.0
160642	1.0	1.0	0.763157894737	1.0
160654	0.0	1.0	0.973684210526	1.0
160681	1.0	1.0	1.0	0.0
160694	1.0	1.0	1.0	0.0
160714	1.0	0.983870967742	1.0	1.0
160740	1.0	0.903225806452	1.0	1.0
161839	1.0	0.967741935484	1.0	1.0
161906	1.0	1.0	0.973684210526	1.0
161908	1.0	1.0	1.0	0.0
161944	1.0	0.822580645161	1.0	1.0
161998	1.0	1.0	1.0	0.0
162118	1.0	1.0	1.0	0.0
162127	0.0	1.0	1.0	1.0
162141	1.0	1.0	0.973684210526	1.0
162195	1.0	0.967741935484	1.0	1.0
162232	1.0	0.91935483871	1.0	0.0
166701	1.0	0.967741935484	1.0	1.0
166707	1.0	0.91935483871	1.0	1.0
166735	1.0	1.0	1.0	0.0
166751	1.0	0.91935483871	1.0	1.0
166768	1.0	0.967741935484	1.0	1.0
166799	1.0	1.0	1.0	0.0
166802	1.0	1.0	1.0	0.0
166805	1.0	1.0	1.0	0.0
166898	1.0	0.967741935484	1.0	1.0
166903	1.0	1.0	1.0	0.0
166947	0.0	1.0	1.0	0.0
171383	1.0	0.903225806452	1.0	1.0
171387	0.0	1.0	1.0	1.0
171389	1.0	0.967741935484	1.0	1.0
171394	1.0	1.0	1.0	0.0
171409	0.0	1.0	1.0	0.0
171445	0.0	1.0	1.0	1.0
171480	0.0	1.0	1.0	1.0
171489	1.0	1.0	1.0	0.0
171516	0.0	1.0	1.0	0.0
171520	0.0	1.0	1.0	0.0
171532	0.0	1.0	1.0	0.0
171539	0.0	1.0	1.0	1.0
171541	0.0	1.0	1.0	0.0
171542	1.0	0.967741935484	1.0	1.0
171554	1.0	1.0	1.0	0.0
204381	1.0	1.0	0.315789473684	1.0
204384	0.0	1.0	1.0	1.0
204405	1.0	1.0	0.763157894737	1.0
204429	1.0	1.0	0.763157894737	1.0
204444	1.0	1.0	0.763157894737	1.0
204543	1.0	1.0	0.842105263158	0.0
204546	1.0	1.0	0.842105263158	0.0
204583	0.5	1.0	1.0	1.0
204642	1.0	0.935483870968	1.0	1.0
204720	0.0	1.0	1.0	1.0
204729	1.0	1.0	0.894736842105	0.0
204730	1.0	1.0	0.894736842105	0.0
204755	1.0	1.0	0.921052631579	1.0
204787	1.0	1.0	0.921052631579	1.0
204809	1.0	1.0	0.736842105263	1.0
204849	1.0	1.0	0.0	1.0
209132	1.0	0.887096774194	1.0	1.0
209144	0.0	1.0	1.0	1.0
209172	0.0	1.0	1.0	1.0
209191	1.0	0.983870967742	1.0	1.0
209218	1.0	1.0	0.157894736842	1.0
209222	1.0	0.983870967742	1.0	1.0
209247	0.0	1.0	1.0	1.0
209255	1.0	1.0	0.157894736842	1.0
209313	0.0	1.0	1.0	1.0
209324	0.0	1.0	0.131578947368	0.0
209332	1.0	0.887096774194	1.0	1.0
209391	1.0	0.983870967742	1.0	1.0
209397	0.0	1.0	1.0	1.0
209447	0.0	1.0	1.0	1.0
209451	1.0	1.0	0.842105263158	1.0
209567	1.0	0.967741935484	1.0	1.0
209684	0.0	1.0	1.0	1.0
209728	0.0	1.0	1.0	1.0
209779	0.0	1.0	1.0	1.0
209791	0.0	1.0	0.105263157895	0.0
209806	0.0	1.0	1.0	1.0
209827	1.0	1.0	0.157894736842	1.0
209837	0.0	1.0	0.131578947368	0.0
209839	0.0	1.0	1.0	1.0
209846	0.0	1.0	1.0	1.0
209860	0.0	1.0	0.0	0.0
209876	1.0	1.0	1.0	0.0
209880	0.0	1.0	0.0	0.0
209889	0.0	1.0	0.105263157895	0.0
209908	0.0	1.0	0.105263157895	0.0
214399	1.0	0.951612903226	1.0	1.0
214413	0.0	1.0	0.0263157894737	1.0
214414	1.0	0.951612903226	1.0	0.0
214432	1.0	0.967741935484	1.0	1.0
214439	0.0	1.0	0.0	1.0
214456	1.0	1.0	0.0	1.0
214463	1.0	0.983870967742	1.0	1.0
214470	0.0	0.951612903226	0.0	0.0
214488	0.0	1.0	1.0	1.0
214530	1.0	1.0	0.947368421053	1.0
214670	1.0	0.983870967742	1.0	1.0
214729	1.0	0.983870967742	1.0	1.0
214732	1.0	0.951612903226	1.0	1.0
214745	0.0	0.951612903226	0.0	0.0
214746	0.5	1.0	1.0	1.0
214750	0.5	1.0	1.0	1.0
214751	0.0	0.951612903226	0.0	0.0
214753	0.5	1.0	1.0	1.0
214774	0.0	0.951612903226	0.0	0.0
214805	0.0	1.0	1.0	1.0
214808	1.0	0.709677419355	1.0	1.0
