chr	start	stop	pi.slew	pi.nlew	pi.lew	pi.ccar	dxy.slew.ccar	dxy.slew.acar	dxy.nlew.ccar	dxy.slew.nlew	dxy.lew.ccar	dxy.ccar.acar	dxy.ccar.verb	dxy.ccar.par	dxy.ccar.bic	dxy.slew.bic	dxy.slew.verb	dxy.nlew.verb	pi.sLC	pi.CV	dxy.sLC.bic	dxy.CV.bic
4	28674	29380	0.009197	0.003546	0.009467	0.003192	0.011689	0.009083	0.005914	0.010638	0.010685	0.004476	0.009472	0.00763	0.008076	0.012393	0.013811	0.008511	0.008089	0.003579	0.009716	0.008135
4	30201	30440	0.0	0.001793	0.004043	0.000135	0.008436	0.011855	0.013666	0.013598	0.009345	0.003554	0.031448	0.011574	0.014712	0.014644	0.031381	0.028243	0.004067	0.002063	0.014686	0.015167
4	71784	72056	0.000196	0.007568	0.005962	0.005784	0.011039	0.007533	0.014134	0.01915	0.011577	0.003506	0.014636	0.004436	0.0	0.0	0.018685	0.015335	0.007536	0.006449	0.0	0.0
4	99172	100256	0.008539	0.005267	0.010216	0.002556	0.014323	0.014491	0.014225	0.015054	0.014375	0.002713	0.023318	0.023716	0.022714	0.024545	0.020954	0.018433	0.009038	0.00388	0.023559	0.022883
4	122713	123117	0.003934	0.028771	0.012965	0.013092	0.016799	0.009747	0.033564	0.032207	0.019791	0.013546	0.01887	0.020055	0.036976	0.04191	0.016699	0.02716	0.013194	0.013767	0.039029	0.037152
4	142077	142540	0.002839	0.011469	0.006257	0.011741	0.015408	0.010001	0.012755	0.013683	0.014947	0.012877	0.01915	0.016508	0.028991	0.031193	0.01934	0.018858	0.012215	0.01223	0.029828	0.028999
4	162978	163535	0.001608	0.003008	0.002485	0.002717	0.008237	0.008738	0.006915	0.004482	0.008042	0.001542	0.014723	0.016515	0.012931	0.012969	0.014761	0.012321	0.005207	0.003467	0.012971	0.012862
4	171986	172310	0.013061	0.003077	0.017837	0.023777	0.023012	0.021997	0.035021	0.030243	0.025101	0.016948	0.035343	0.039611	0.041638	0.040486	0.025425	0.016154	0.021887	0.024476	0.0412	0.041731
4	221543	221986	0.00741	0.006821	0.010389	0.004221	0.010665	0.008017	0.018754	0.015992	0.012429	0.006295	0.001209	0.039033	0.000109	0.000335	0.002672	0.012106	0.007971	0.004139	0.000193	0.000108
4	234409	235810	0.006903	0.002726	0.007114	0.004051	0.00882	0.009003	0.008591	0.008005	0.00878	0.005783	0.010895	0.012039	0.032178	0.031534	0.008803	0.005082	0.006726	0.004472	0.031933	0.032064
4	235819	236348	0.004791	0.01314	0.007296	0.007725	0.008129	0.006753	0.013702	0.01255	0.009098	0.008338	0.014942	0.013573	0.031528	0.032324	0.015392	0.020519	0.0075	0.00817	0.03183	0.031515
4	242254	242736	0.000875	0.000518	0.00086	0.000962	0.0011	0.000599	0.00076	0.000858	0.001041	0.000501	0.002571	0.009818	0.02017	0.019069	0.00267	0.002329	0.001016	0.001063	0.019752	0.020219
4	266728	267860	0.004606	0.010904	0.009907	0.003335	0.025343	0.02545	0.023307	0.022402	0.025205	0.004285	0.014848	0.01813	0.021269	0.029298	0.03009	0.026221	0.013964	0.004044	0.024324	0.021142
4	283331	284022	0.005381	0.003871	0.009125	0.00898	0.025587	0.019316	0.020418	0.017701	0.024813	0.014128	0.027981	0.031664	0.029636	0.042315	0.034025	0.031973	0.016375	0.010156	0.034443	0.029519
