chr	start	stop	pi.slew	pi.nlew	pi.lew	pi.ccar	dxy.slew.ccar	dxy.slew.acar	dxy.nlew.ccar	dxy.slew.nlew	dxy.lew.ccar	dxy.ccar.acar	dxy.ccar.verb	dxy.ccar.par	dxy.ccar.bic	dxy.slew.bic	dxy.slew.verb	dxy.nlew.verb	pi.sLC	pi.CV	dxy.sLC.bic	dxy.CV.bic
6	17872	19410	0.005619	0.008239	0.007928	0.002412	0.016764	0.015349	0.017644	0.013336	0.016896	0.013836	0.021121	0.020864	0.032782	0.026114	0.02517	0.025195	0.009667	0.003563	0.030235	0.032815
6	22605	23549	0.004392	0.010745	0.007057	0.008461	0.018534	0.01202	0.018618	0.012863	0.018547	0.012453	0.018438	0.023487	0.025884	0.023115	0.021637	0.02304	0.012708	0.009071	0.024845	0.026134
6	24011	24764	0.004066	0.012126	0.007386	0.006277	0.021542	0.017486	0.018616	0.014467	0.021058	0.00922	0.025199	0.026974	0.02813	0.032109	0.029771	0.024536	0.013229	0.00744	0.029642	0.028452
6	49062	49571	0.009291	0.005882	0.010907	0.003476	0.021702	0.021104	0.023806	0.01508	0.022068	0.005735	0.018817	0.02432	0.031657	0.025955	0.027348	0.029657	0.012982	0.004429	0.029493	0.031711
6	54461	55973	0.003489	0.009041	0.006235	0.007958	0.014871	0.01428	0.017632	0.012252	0.015363	0.009012	0.020404	0.014487	0.029742	0.028896	0.0214	0.021894	0.01063	0.008721	0.029434	0.029938
6	65129	66167	0.006008	0.008043	0.008215	0.004985	0.013032	0.01464	0.019125	0.013335	0.014092	0.008357	0.017619	0.017868	0.019172	0.019731	0.019401	0.020452	0.008962	0.005764	0.019385	0.019249
6	68988	70535	0.0	0.002861	0.001074	0.003169	0.005074	0.005383	0.006463	0.003391	0.005316	0.004265	0.019557	0.016327	0.019026	0.016796	0.014858	0.016957	0.003626	0.004176	0.018178	0.019077
6	121961	123492	0.001784	0.007581	0.005317	0.001873	0.009852	0.010283	0.015257	0.013146	0.010815	0.002771	0.013053	0.013216	0.027043	0.027603	0.016379	0.021636	0.005656	0.002566	0.027255	0.027211
6	132129	132879	0.00196	0.003567	0.004083	0.003695	0.012097	0.007475	0.012983	0.009134	0.012217	0.005613	0.018964	0.015034	0.030862	0.025522	0.012942	0.016977	0.007505	0.004637	0.02883	0.030896
6	140100	141632	0.003221	0.003588	0.004191	0.002222	0.012472	0.012051	0.011836	0.006489	0.012361	0.002378	0.013141	0.005802	0.029775	0.029011	0.017595	0.01696	0.007242	0.002894	0.029485	0.029956
6	142281	143403	0.01081	0.010654	0.012679	0.007107	0.021011	0.021566	0.020829	0.017198	0.020973	0.007789	0.016143	0.014003	0.042125	0.045226	0.02423	0.025045	0.014236	0.00766	0.043292	0.042214
6	147697	148086	0.008053	0.010989	0.012482	0.00625	0.023206	0.02538	0.022787	0.022692	0.023162	0.010281	0.024891	0.018172	0.024839	0.02807	0.020769	0.029487	0.014663	0.007402	0.025971	0.025025
6	150880	152049	0.000602	0.006807	0.003665	0.003375	0.015346	0.01525	0.016229	0.010459	0.0155	0.013694	0.025227	0.019672	0.027998	0.025079	0.019096	0.018056	0.008679	0.004718	0.026889	0.028005
6	219381	220413	0.00248	0.003665	0.004314	0.003689	0.010363	0.008721	0.00814	0.008572	0.009983	0.003422	0.012567	0.011247	0.017048	0.015056	0.008458	0.010286	0.00669	0.004238	0.016289	0.017074
6	246078	247280	0.001654	0.012835	0.011807	0.002093	0.033473	0.035464	0.028753	0.033789	0.032889	0.00686	0.021881	0.019166	0.035529	0.042308	0.038905	0.030098	0.016665	0.003311	0.038573	0.035731
6	254706	255262	0.002634	0.006348	0.003687	0.009743	0.011814	0.012512	0.014138	0.006295	0.012137	0.015087	0.013552	0.012118	0.028001	0.02289	0.009992	0.010548	0.009682	0.009972	0.02604	0.027996
6	257891	258364	0.00317	0.002039	0.003863	0.004061	0.005887	0.007808	0.004629	0.005633	0.005668	0.005831	0.005388	0.02479	0.042727	0.041004	0.006788	0.001321	0.004803	0.00414	0.042072	0.042779
6	266716	267327	0.00138	0.010814	0.005384	0.002878	0.010832	0.011902	0.010598	0.014698	0.010578	0.003191	0.014788	0.016425	0.027882	0.028814	0.018994	0.020663	0.006193	0.00361	0.02806	0.028084
6	270978	272215	0.000453	0.003375	0.002426	0.001729	0.006333	0.005994	0.00468	0.006903	0.006046	0.001867	0.005589	0.005915	0.026943	0.025827	0.009629	0.007977	0.003739	0.001966	0.026519	0.02706
6	282832	283420	0.0	0.00091	0.000336	0.007328	0.052796	0.050934	0.053857	0.001061	0.05298	0.007877	0.020812	0.015718	0.025905	0.04584	0.047538	0.048599	0.027928	0.008161	0.03348	0.026051
6	298757	300301	0.0	0.004788	0.002674	0.007287	0.007231	0.002807	0.012407	0.008663	0.008131	0.006775	0.01854	0.013006	0.028203	0.029793	0.021697	0.022911	0.006224	0.00798	0.028807	0.028422
6	330316	330872	0.008474	0.009669	0.011173	0.002714	0.026715	0.025292	0.033648	0.017705	0.027896	0.013542	0.019372	0.012191	0.034314	0.034726	0.024946	0.027379	0.014956	0.003738	0.03447	0.034392
6	332962	333525	0.015899	0.020956	0.018779	0.010306	0.033151	0.039129	0.034568	0.02508	0.033449	0.026275	0.029968	0.037745	0.053227	0.053603	0.034897	0.033983	0.022067	0.011541	0.0535	0.053202
6	336486	337510	0.015498	0.021622	0.017936	0.013286	0.022097	0.02439	0.026152	0.023244	0.022793	0.024243	0.02659	0.027472	0.031615	0.029953	0.024196	0.032227	0.017849	0.014102	0.031024	0.031648
6	338120	338512	0.018921	0.009134	0.018762	0.011734	0.027521	0.024514	0.021422	0.020045	0.026305	0.017712	0.027679	0.021866	0.046163	0.04663	0.02995	0.027494	0.020133	0.012735	0.046216	0.046204
6	339387	339951	0.026219	0.016751	0.026135	0.001227	0.031777	0.0305	0.021168	0.026787	0.029923	0.003178	0.018099	0.016229	0.031544	0.053167	0.031835	0.022788	0.01949	0.002274	0.039934	0.03175
6	343002	343315	0.00362	0.013641	0.007327	0.005157	0.021179	0.019388	0.017696	0.015512	0.020602	0.011346	0.038526	0.037844	0.0	0.0	0.032937	0.033307	0.012613	0.007275	0.0	0.0
6	345357	346153	0.012287	0.017248	0.019072	0.018105	0.031663	0.032229	0.02642	0.034971	0.030766	0.020296	0.032857	0.022261	0.032798	0.030718	0.032379	0.021331	0.023654	0.019015	0.03198	0.032809
6	416011	417033	0.010786	0.010543	0.013209	0.002643	0.020662	0.023129	0.015199	0.019524	0.019947	0.005156	0.010737	0.023106	0.024548	0.024483	0.016894	0.020406	0.012205	0.003155	0.024429	0.024637
6	417050	417499	0.01711	0.005079	0.018984	0.008198	0.023414	0.02122	0.017903	0.025246	0.022674	0.007295	0.031895	0.034145	0.036201	0.027937	0.023275	0.031667	0.01683	0.009685	0.033174	0.035725
6	421661	422982	0.001394	0.008733	0.00598	0.009663	0.019039	0.024928	0.013529	0.015783	0.017971	0.016303	0.022506	0.018446	0.035192	0.034404	0.020917	0.022615	0.012836	0.010478	0.034847	0.035343
6	442323	443430	0.001392	0.008749	0.006852	0.004339	0.016928	0.011802	0.019112	0.020036	0.017267	0.006413	0.018473	0.015775	0.034792	0.033406	0.021724	0.029084	0.009934	0.005233	0.034261	0.034936
6	457340	458739	0.001232	0.002041	0.002223	0.001011	0.002854	0.003835	0.004136	0.00453	0.003077	0.001901	0.019136	0.011279	0.023767	0.024173	0.01953	0.017857	0.001919	0.002125	0.023921	0.024018
6	509883	510747	0.006704	0.007845	0.007146	0.000809	0.006803	0.006355	0.007161	0.007568	0.006993	0.001353	0.005647	0.006275	0.032374	0.031626	0.009871	0.009827	0.004485	0.001107	0.032144	0.032431
6	559726	561253	0.000866	0.011827	0.006226	0.009185	0.013199	0.017251	0.018583	0.018353	0.014132	0.01046	0.020935	0.018391	0.033971	0.037441	0.020254	0.022469	0.009911	0.009924	0.035287	0.03406
6	574617	574906	0.002399	0.010468	0.011927	0.00281	0.007693	0.008953	0.02963	0.034097	0.011508	0.003819	0.008509	0.011958	0.0	0.0	0.012704	0.028448	0.005076	0.003163	0.0	0.0
6	578522	579337	0.014841	0.011875	0.015768	0.01873	0.018565	0.019845	0.018782	0.01827	0.018603	0.019532	0.02999	0.020519	0.024488	0.023658	0.027353	0.027401	0.018096	0.019436	0.024169	0.024742
6	580131	580831	0.001098	0.014469	0.005873	0.005012	0.005596	0.005005	0.016302	0.016124	0.007458	0.004747	0.019764	0.012379	0.019005	0.020459	0.020459	0.029957	0.004734	0.005934	0.019558	0.019325
6	602770	603322	0.004705	0.00409	0.00549	0.00238	0.010167	0.010485	0.007968	0.009015	0.010133	0.003582	0.014072	0.015063	0.012265	0.011231	0.019149	0.015069	0.006106	0.003099	0.011876	0.012504
6	604103	604444	0.013659	0.001253	0.013301	0.017112	0.021715	0.018442	0.017995	0.013581	0.021068	0.017075	0.019289	0.019198	0.032261	0.038089	0.023238	0.016813	0.018821	0.017258	0.03448	0.032127
6	607334	608825	0.000828	0.006391	0.004523	0.011738	0.020769	0.026034	0.019683	0.012898	0.02058	0.014126	0.033999	0.028215	0.029037	0.031731	0.028044	0.029323	0.014487	0.013115	0.03006	0.029312
6	615578	616740	0.008091	0.010202	0.010487	0.007742	0.014916	0.014507	0.023079	0.016019	0.016352	0.006691	0.02082	0.023607	0.051269	0.048957	0.02008	0.024132	0.01121	0.008553	0.050425	0.051184
6	617576	617837	0.004132	0.001636	0.004901	0.000246	0.015692	0.011752	0.014436	0.006981	0.015473	0.006484	0.019207	0.028749	0.019207	0.011752	0.00904	0.007634	0.008149	0.00142	0.016374	0.019084
6	627647	627942	0.003229	0.00374	0.003287	0.00363	0.004694	0.003023	0.005382	0.003356	0.004817	0.002154	0.015286	0.011417	0.009837	0.006134	0.013958	0.013936	0.004082	0.004352	0.008355	0.010055
6	635670	636634	0.0	0.0	0.0	0.001355	0.0	0.0	0.0	0.0	0.0	0.000113	0.0	0.0	0.0	0.0	0.0	0.0	0.001355	0.001355	0.0	0.0
6	649482	650491	0.001162	0.001202	0.002126	0.001549	0.004377	0.003419	0.003867	0.003848	0.004179	0.002355	0.002877	0.004857	0.00971	0.011769	0.002776	0.001733	0.002654	0.001629	0.011239	0.009685
6	656693	657736	0.008748	0.008826	0.011941	0.016589	0.028276	0.027121	0.029168	0.019595	0.028767	0.017641	0.023218	0.029137	0.03154	0.036011	0.023627	0.023348	0.021067	0.017193	0.03314	0.031604
